1292052	肖申克的救赎
1296141	控方证人
1291546	霸王别姬
1292063	美丽人生
1295644	这个杀手不太冷
1292720	阿甘正传
1295124	辛德勒的名单
1293182	十二怒汉
5450891	泰坦尼克号 3D版
10583098	十二怒汉
5294851	控方证人
3541415	盗梦空间
1291561	千与千寻
1292722	泰坦尼克号
3011091	忠犬八公的故事
1291831	灿烂人生
1307856	背靠背，脸对脸
1461403	茶馆
20326557	巴黎圣母院
3793023	三傻大闹宝莱坞
1292001	海上钢琴师
1889243	星际穿越
1291549	放牛班的春天
6786002	触不可及
1291841	教父
5912992	熔炉
1300267	乱世佳人
1291858	鬼子来了
21937445	辩护人
1303021	小鞋子
1294371	摩登时代
1295399	七武士
1291568	东京物语
1293908	城市之光
1293749	生活多美好
1424334	洞
27040774	超感猎杀：完结特别篇
1304920	切腹
4719384	哀乐中年
1292064	楚门的世界
26387939	摔跤吧！爸爸
1307914	无间道
1851857	蝙蝠侠：黑暗骑士
1291828	天堂电影院
1291552	指环王3：王者无敌
1292365	活着
1293350	两杆大烟枪
1900841	窃听风暴
1291818	饮食男女
21937452	素媛
1299131	教父2
1292262	美国往事
1292206	地下
1300334	熊的故事
1293270	寻子遇仙记
1303913	南海十三郎
1293847	生之欲
1418076	天堂回信
1301811	鳄鱼波鞋走天涯
3097352	剃头匠
1419479	女人步上楼梯时
1473562	丛林赤子心
1422091	情迷意乱
1929463	少年派的奇幻漂流
1292000	搏击俱乐部
1291548	死亡诗社
1292224	飞越疯人院
1291572	指环王2：双塔奇兵
1296736	钢琴家
1293172	末代皇帝
6985810	狩猎
1300992	完美的世界
1292337	无人知晓
1959195	忠犬八公物语
5908478	我爱你
25958717	海蒂和爷爷
1299361	爱·回家
1297880	芙蓉镇
1291566	攻壳机动队2：无罪
1769507	沉静如海
26266892	红鳉鱼
1293909	从海底出击
1294781	卡比利亚之夜
1793200	我的父亲，我的儿子
1292778	将军号
1763905	我是
1292981	婚姻生活
1295614	士兵之歌
1303525	流浪者之歌
1292589	纽伦堡的审判
1307067	战争与和平
4804209	秦时明月之一舞倾城
1793394	木更津猫眼 世界系列
1298944	无言的山丘
1925081	海蒂
1432669	我是古巴
3319755	怦然心动
1849031	当幸福来敲门
26752088	我不是药神
2129039	飞屋环游记
1293839	罗马假日
1298624	闻香识女人
1306029	美丽心灵
1291571	指环王1：魔戒再现
1787291	被嫌弃的松子的一生
1301753	狮子王
1292849	拯救大兵瑞恩
1294408	音乐之声
3072124	玛丽和马克思
1292434	一一
3008247	穿条纹睡衣的男孩
1292208	上帝之城
25814705	小森林 夏秋篇
25814707	小森林 冬春篇
1291822	卢旺达饭店
3217169	勇士
1293764	与狼共舞
1292925	伴我同行
1295873	偷自行车的人
1295646	大独裁者
1308162	女人四十
1303067	影子武士
1296703	楢山节考
25938803	莫娣
1292719	大路
2078398	听见天堂
1292969	光荣之路
1298107	大都会
1293455	永恒和一日
1291556	乡愁
1302210	神女
1299248	镜子
1460341	佛兰德斯的狗
1366165	死者田园祭
1449711	世上最快的印地安摩托
1298248	安德烈·卢布廖夫
1300738	夺命剑
1294573	尤里西斯的凝视
1388180	哭泣的草原
2310047	可玛猫
1422088	撒旦探戈
1299360	我出生了，但……
1309046	V字仇杀队
1485260	本杰明·巴顿奇事
1292220	情书
1292402	西西里的美丽传说
1780330	致命魔术
1291832	低俗小说
11525673	布达佩斯大饭店
2149806	入殓师
1294639	勇敢的心
1292656	心灵捕手
1291875	阳光灿烂的日子
4917726	阳光姐妹淘
1292679	春光乍泄
1305487	猫鼠游戏
1297630	第六感
1305164	甜蜜蜜
26799731	请以你的名字呼唤我
5322596	超脱
1293527	美国X档案
4230918	结婚礼服
7064681	狼的孩子雨和雪
1300055	全金属外壳
1316580	春夏秋冬又一春
1293315	阿郎的故事
1306607	K星异客
1291840	走出非洲
4798707	爱
1292529	机器管家
1293414	阮玲玉
1296987	安妮·霍尔
1307766	那山那人那狗
1450031	启示
11500954	编舟记
4861627	和声
1300685	克莱默夫妇
1302642	花火
3660428	金色梦乡
1292330	恋恋风尘
1291937	关于我母亲的一切
26591654	地雷区
1297991	杀死一只知更鸟
1306439	迫在眉梢
3335463	交响情人梦 最终乐章 前篇
6080840	回家的路
2027899	12怒汉：大审判
1297311	水牛城66
1457219	光荣之路
1292504	柏林苍穹下
1308086	昨天
1293394	西部往事
1291563	十分钟年华老去：小号篇
3750104	朝圣之路
1310176	放大
3074482	死亡医生
1773216	迷恋荷尔蒙
1309135	虎兄虎弟
1299582	绿洲
1308314	邦尼和琼
1947270	天狗
1421733	伊豆的舞女
3173635	花落花开
3181788	余生的第一天
1308191	二手狮王
1307708	马路天使
1293492	战舰波将金号
4921358	梵高：画语人生
1945253	自由作家
1291976	狗脸的岁月
26584763	少爷
1306454	烈焰焚币
1389949	日瓦戈医生
1303577	雨月物语
1294827	蜘蛛巢城
1304758	细路祥
1303066	莫斯科不相信眼泪
1297007	闪亮的风采
5155169	音乐永不停歇
1298385	解构爱情狂
1294038	流星语
1293213	恶魔
1303562	死囚越狱
25822430	炙热
1947266	四分钟
1293981	心灵点滴
1401588	法外之徒
1303654	杀人短片
1946786	隐藏的恋情
1302605	远山的呼唤
1294497	飓风
1440164	大菩萨岭
3154392	永恒记忆
1308609	压路机和小提琴
1302077	雁南飞
1422283	高山下的花环
1417428	蓝
1298880	生命因你动听
1947288	银河铁道之夜
1771288	新灵犬莱西
1295255	圣血
1300860	海蒂
1293861	油炸绿番茄
1302181	热带鱼
1294565	五至七时的克莱奥
1401843	秋日和
1419005	阿尔及尔之战
1297920	小孩与鹰
1292397	盗信情缘
1309099	法兰基，我的爱
1438584	圣诞快乐
1441191	水
4902937	娘家母亲
1421933	禁忌的游戏
1293663	天国与地狱
1464526	横空出世
1303521	特写
1401209	小英雄托托
1304596	谁来为我摘月亮
1296679	红胡子
2212901	平凡岁月的魅力
1300955	同流者
1303813	饲养乌鸦
1296097	风烛泪
1298517	屋顶上的小提琴手
1303285	你逃我也逃
